chõ	cho
senõ	seño
trraͣ	tierra
c̀	cri
xpõ	Cristo
tpõ	tienpo
chõ	cho
õ	on
ũ	un
ỹ	y
omẽ 	omne 
ẽ	en
chã	cha
ã	an
j̃	in
ĩ	in
dł	del
eñl	en el
	ser
ꝟ	ver
ñs	nes
ns̃	nes
r̃s	res
s̃ 	es 
r̃ 	er 
ñgaͣ	ninguna
q̀	qui
p̀	pri
ꝑa	para
enꝑa	enpera
ꝑ	per
łło	llero
lło	llero
łlo	llero
łłia	lleria
ẻ	er
aᷤ	as
oᷤ	os
naͣ	nera
p̊	pro
x̃	cri
d̃	de
pͤ	pre
q̃	que
qͣ	qua
om̃	omne
pnçi	princi
çe	ce
çi	ci
ça	za
ço	zo
q̃ere	quiere
łos	los
s̃	es
ant̃	ant
g̃	gue
deła	de la
deł	del
delła	della
gͣ	gua
ut̃	unt
qñ	quan
Ihũ	Ihesu
at̃	ant
ñ	ñ
gͣs	gunas
go̊	guno
